#TYPE System.Data.DataRow
"FileName","ARCH","DotNET","ASLR","DEP","Authenticode","StrongNaming","SafeSEH","ControlFlowGuard","HighentropyVA"
"C:\EBI_Tema\exe\de\PdfSharp.resources.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\de\PdfSharp.resources.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\BouncyCastle.Crypto.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\chromedriver.exe","I386","False","True","True","False","N/A","True","True","N/A"
"C:\EBI_Tema\exe\FW\chromedriver_o.exe","I386","False","True","True","False","N/A","True","True","N/A"
"C:\EBI_Tema\exe\FW\chromedriver_old.exe","I386","False","True","True","False","N/A","True","True","N/A"
"C:\EBI_Tema\exe\FW\ClosedXML.dll","I386","True","True","True","False","False","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\DHExtRegistry.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\FW\DHExtSecurity.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\FW\DHExtTrace.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\FW\DHNETDB.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\DHNETTemaRegistry.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\DHNETTrace.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\DHRegistry.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\FW\DHUtility.dll","I386","False","True","True","False","N/A","True","False","N/A"
"C:\EBI_Tema\exe\FW\DocumentFormat.OpenXml.dll","I386","True","True","True","True","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\ExcelNumberFormat.dll","I386","True","True","True","False","True","N/A","N/A","N/A"
"C:\EBI_Tema\exe\FW\FWDistributionTool.exe","I386","True","True","True","False","False","N/A","N/A","N/A"
